영화 이름,개봉년도,관람객 평점,평론가 평점,네티즌 평점,평가한 네티즌 수
플레이 투 더 본,2000,nan,nan,5.2,5
걸 온 더 브릿지,2000,nan,nan,8.48,23
아트 오브 워,2000,nan,nan,7.3,83
비상 근무,2000,nan,nan,7.14,56
언피쉬,2000,nan,nan,9.2,5
마지막 전투,2000,nan,nan,7.8,20
소용돌이,2000,nan,nan,4.58,152
비밀,2000,nan,nan,5.43,42
아줌마,2000,nan,nan,9.71,7
다이너소어,2000,nan,nan,9.02,198
개 달리다,2000,nan,nan,7.43,7
십이야,2000,nan,nan,8.12,72
보디 샷,2000,nan,nan,4.73,11
CSI 라스베가스 시즌1,2000,nan,nan,9.34,146
징기스칸,2000,nan,nan,6.53,17
디지몬 어드벤처,2000,nan,nan,9.97,30
러브 히나,2000,nan,nan,8.75,16
빅 마마 하우스,2000,nan,nan,8.02,182
색정남녀,2000,nan,nan,7.34,35
왓쳐,2000,nan,nan,6.17,84
해변으로 가다,2000,nan,nan,6.15,164
시월애,2000,nan,nan,9.29,2054
고스트 독 - 사무라이의 길,2000,nan,nan,7.18,72
불후의 명작,2000,nan,nan,6.22,45
트라이어드,2000,nan,nan,7.33,9
사랑을 위하여,2000,nan,nan,8.32,114
할로우 맨,2000,nan,nan,7.21,470
엑스맨 - 에볼루션,2000,nan,nan,6.29,14
아메리칸 드림,2000,nan,nan,7.75,4
리플레이스먼트,2000,nan,nan,8.65,166
니딩 유 : 고남과녀,2000,nan,nan,7.76,25
식스티 세컨즈,2000,nan,nan,7.65,239
고혹자 6 - 동경용호투,2000,nan,nan,7.62,16
쉘 위 댄스,2000,nan,nan,9.13,324
오 형제여 어디 있는가,2000,nan,nan,8.29,153
천둥소리,2000,nan,nan,9.5,2
헤비 메탈 2,2000,nan,4,7,3
종합병원 The Movie 천일동안,2000,nan,nan,7.75,8
소년은 울지 않는다,2000,nan,nan,8.92,513
에이리언 어드벤쳐,2000,nan,nan,7.33,3
21세기 도망자,2000,nan,nan,0,0
고인돌 가족 2,2000,nan,nan,7.58,26
상하이 눈,2000,nan,nan,8.56,176
노마 진 앤 마릴린,2000,nan,nan,6.56,16
엑스맨,2000,nan,nan,8.05,890
살사,2000,nan,6,8.69,16
오스틴 파워 - 제로,2000,nan,nan,7.43,115
바벨,2000,nan,nan,1,1
미녀 삼총사,2000,nan,nan,7.52,363
비천무,2000,nan,nan,6.05,237
굿바이 러버,2000,nan,nan,7,8
AD 2000,2000,nan,nan,7,5
리베라 메,2000,nan,nan,7.01,152
불가사리,2000,nan,nan,6.73,49
자카르타,2000,nan,nan,7.11,169
미인,2000,nan,nan,4.41,160
4월 이야기,2000,9,7.38,8.21,1245
어둠의 후예,2000,nan,nan,8,4
@골뱅이,2000,nan,nan,0,0
뮤직 오브 하트,2000,nan,nan,8.81,100
동물 농장,2000,nan,nan,8.44,18
갤럭시 퀘스트,2000,nan,nan,8.58,157
가을 동화,2000,nan,nan,9.55,183
태양유이,2000,nan,nan,0,0
블레스 더 차일드,2000,nan,nan,6.52,60
사랑의 전설,2000,nan,nan,9.25,4
산책,2000,nan,nan,8.23,118
매그놀리아,2000,9,nan,8.33,515
칠 팩터,2000,nan,nan,6.97,31
키스드,2000,nan,nan,5.33,12
해피 텍사스,2000,nan,nan,7.88,8
스컬스,2000,nan,nan,6.96,27
무언의 목격자 시즌5,2000,nan,nan,0,0
영웅,2000,nan,nan,3.44,9
시암 썬셋,2000,nan,nan,7.8,25
진심화,2000,nan,nan,8.88,8
포르노그래픽 어페어,2000,nan,nan,8.06,34
이케부쿠로 웨스트 게이트 파크,2000,nan,nan,9.49,49
스토리 오브 어스,2000,nan,nan,7.9,41
덕이,2000,nan,nan,9.25,8
생사권속,2000,nan,nan,7.4,10
건드레스,2000,nan,nan,2.5,6
나 혼자 죽을 수 없다,2000,nan,nan,7.2,5
소나티네,2000,9,7.67,8.19,187
에린 브로코비치,2000,nan,nan,9.08,566
목요일,2000,nan,nan,8.27,33
여비서,2000,nan,nan,0,0
로미오 머스트 다이,2000,nan,nan,6.94,100
패트리어트 - 늪 속의 여우,2000,nan,nan,8.86,683
분닥 세인트,2000,nan,nan,8.01,364
봉자,2000,nan,nan,5.72,40
진실 게임,2000,nan,nan,6.46,70
논스톱 2 - 뉴 논스톱,2000,nan,nan,9.52,64
프리 머니,2000,nan,nan,5.75,8
머더 게임,2000,nan,nan,0,0
언브레이커블,2000,nan,nan,7.56,1201
감각의 제국,2000,nan,nan,6.64,264
스크림 3,2000,nan,nan,6.67,127
웰컴 미스터 맥도날드,2000,nan,nan,8.42,264
성원,2000,nan,5,9.02,432
글래디에이터,2000,nan,nan,9.4,4495
뉴욕의 가을,2000,nan,nan,6.35,136
쌍생아,2000,nan,nan,7.65,66
프리퀀시,2000,nan,nan,9.32,6222
존 말코비치 되기,2000,8.67,nan,8.45,947
피델리티,2000,nan,nan,6.5,14
레스트리스,2000,nan,nan,7.17,35
위트와 슬라이,2000,nan,nan,7.45,22
아메리칸 뷰티,2000,nan,nan,9,1428
인랑,2000,nan,nan,8.24,405
제이콥의 거짓말,2000,nan,nan,8.41,120
그녀를 보기만 해도 알 수 있는 것,2000,nan,nan,8.37,75
쉐이디 글로브,2000,nan,nan,8.5,2
저니 오브 맨,2000,nan,nan,9.5,2
너티 프로페서 2,2000,nan,nan,6.31,16
하면 된다,2000,nan,nan,7.68,170
글루미 선데이,2000,9.29,7.25,9.09,1391
가위,2000,nan,nan,7.22,176
거짓말,2000,nan,nan,4.97,218
